From	To
H2PK43	ENSPPYG00000016942
G3RKS8	ENSGGOG00000016770
G3QTW1	ENSGGOG00000006289
G3QYI9	ENSGGOG00000008102
G3QET6	ENSGGOG00000000799
H2R0U3	ENSPTRG00000011582
Q86V97	ENSG00000165572
H2NJQ6	ENSPPYG00000005311
H2PXY4	ENSPTRG00000023465
F7D6K7	ENSMMUG00000001363
O95452	ENSG00000121742
H2N791	ENSPPYG00000001301
H2R3D4	ENSPTRG00000023089
F6TZ92	ENSMMUG00000018717
F7H6Q6	ENSMMUG00000006521
H2RCF5	ENSPTRG00000034285
Q9H4G1	ENSG00000101435
H2NZE8	ENSPPYG00000010184
F7GUB0	ENSMMUG00000004411
G3SIV7	ENSGGOG00000025149
Q06520	ENSG00000105398
H2QX53	ENSPTRG00000020860
F7HGT9	ENSMMUG00000011667
H2PSS1	ENSPPYG00000019404
P51884	ENSG00000139329
H2Q7H0	ENSPTRG00000005813
F6YD44	ENSMMUG00000032121
H2QDR5	ENSPTRG00000009590
H2RAZ1	ENSPTRG00000020209
P0C0E4	ENSG00000102128
F7H5Z8	ENSMMUG00000009277
F7H354	ENSMMUG00000022155
G3RMU4	ENSGGOG00000022334
Q8NEX6	ENSG00000180083
Q5D862	ENSG00000143520
F7AWZ8	ENSMMUG00000029257
H2QXD4	ENSPTRG00000021042
H2N626	ENSPPYG00000000932
Q93033	ENSG00000134256
H2QQW4	ENSPTRG00000016870
F7FV22	ENSMMUG00000016015
F6VEW6	ENSMMUG00000012235
H2NB63	ENSPPYG00000002527
H2QSI3	ENSPTRG00000017847
G3RY75	ENSGGOG00000008465
G3S533	ENSGGOG00000026314
G3R9I4	ENSGGOG00000012369
H2PBI8	ENSPPYG00000014134
Q96T54	ENSG00000124780
H2PY22	ENSPTRG00000030826
G3R7U2	ENSGGOG00000011732
P51800	ENSG00000186510
F7EFL1	ENSMMUG00000003197
Q8N4P2	ENSG00000196659
H2PZZ9	ENSPTRG00000001300
G3QK40	ENSGGOG00000002853
F7GVH5	ENSMMUG00000003793
F6US88	ENSMMUG00000020245
G3QFW7	ENSGGOG00000001218
H2PI83	ENSPPYG00000016345
H2NK80	ENSPPYG00000005471
